id,ref_id,exchange,code,year,month,period,type,preliminary,cash_and_equiv,current_assets,long_term_assets,total_assets,current_liabilities,long_term_liabilities,total_liabilities,current_debt,current_lease,long_term_debt,long_term_lease,total_debt,net_debt,equity,equity_stock_holders,revenue,gross_profit,sel_gen_adm_expenses,total_expenses,operating_income,interest_income,interest_expense,interest_net,commission_net,ebitda,ebit,earnings_wo_tax,earnings,earnings_stock_holders,depr_depl_amort,cfo,cfi,cff,capex,fcf,ffo,amount,curr,link,link_press,gen,capital,num5,price5,num5_day,price5_day,earnings_ps,revenue_ps,ebitda_ps,fcf_ps
1305944000000,0,MOEX,FIVE,2019,12,6M,МСФО,0,18602000000,179754000000,894576000000,1074330000000,368573000000,589201000000,957774000000,74755000000,57622000000,153178000000,427173000000,227933000000,209331000000,116556000000,116556000000,891172000000,219133000000,246203000000,182447000000,36686000000,54000000,28626000000,-29847000000,0,106889000000,36881000000,7034000000,-805000000,-805000000,95773000000,57905000000,-45592000000,-10723000000,73512000000,-15607000000,0,1,RUB,/fa/fa_reports/2019/FIVE2019YМСФО.pdf,https://financemarker.ru/fa/fa_reports/2019/FIVE2019YMSFO.pdf,X,579672295284,271572872,2134.5000,271572872,1191.0000,-2.9642135978883783,3281.52069622035,393.59233200582713,-57.46892126986822
1305943000000,0,MOEX,FIVE,2019,12,Q,МСФО,0,18602000000,179754000000,894576000000,1074330000000,368573000000,589201000000,957774000000,74755000000,57622000000,153178000000,427173000000,227933000000,209331000000,116556000000,116556000000,469217000000,113985000000,189744000000,95398000000,18587000000,54000000,14429000000,-15650000000,0,54622000000,18926000000,3276000000,-907000000,-907000000,77931000000,42735000000,-22589000000,-12486000000,73512000000,-30777000000,0,1,RUB,/fa/fa_reports/2019/FIVE2019YМСФО.pdf,https://financemarker.ru/fa/fa_reports/2019/FIVE2019YMSFO.pdf,X,579672295284,271572872,2134.5000,271572872,1191.0000,-3.3398033953847936,1727.7756667830945,201.1320188122472,-113.32869801516847
14928000000,56191000000,MOEX,FIVE,2019,12,Y,МСФО,0,18602000000,179754000000,894576000000,1074330000000,368573000000,589201000000,957774000000,74755000000,57622000000,153178000000,427173000000,227933000000,209331000000,116556000000,116556000000,1734347000000,432479000000,356890000000,343081000000,89398000000,54000000,55628000000,-56849000000,0,215720000000,91547000000,34698000000,19507000000,19507000000,122085000000,130463000000,-81151000000,-55139000000,73512000000,56951000000,0,1,RUB,/fa/fa_reports/2019/FIVE2019YМСФО.pdf,https://financemarker.ru/fa/fa_reports/2019/FIVE2019YMSFO.pdf,,579672295284,271572872,2134.5000,271572872,1191.0000,71.82970764473117,6386.304299201137,794.3355991757527,209.70798585508203
14927000000,56196000000,MOEX,FIVE,2020,3,Q,МСФО,0,11872000000,158303000000,902245000000,1060548000000,362991000000,577089000000,940080000000,66410000000,59575000000,132222000000,434892000000,198632000000,186760000000,120468000000,120468000000,468994000000,115936000000,62839000000,91949000000,23987000000,0,14053000000,-14053000000,0,56272000000,20282000000,6229000000,4001000000,4001000000,32285000000,54212000000,-17294000000,-43611000000,17294000000,54212000000,0,1,RUB,https://financemarker.ru/fa/fa_reports/2020/FIVE2020Q1МСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q1_2020_Financial_results.pdf,,567858875352,271572872,2091.0000,271572872,1191.0000,14.732693919442735,1726.9545243826858,207.2077361246892,199.62229511642826
140013000000,56197000000,MOEX,FIVE,2020,6,6M,МСФО,0,11302000000,166432000000,930177000000,1096609000000.0001,369545000000,621823000000,991368000000.0001,73622000000,63740000000.00001,158156000000,454714000000,231778000000,220476000000,105241000000,105241000000,962625000000,242515000000,127406000000.00002,185574000000,56941000000,0,28603000000,-28603000000,0,122861000000,55006000000,26403000000,18773000000,18773000000,64898000000.00001,83938000000,-38043000000,-53164000000,32007000000.000004,83938000000,0,1,RUB,/fa/fa_reports/2020/FIVE20206MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2020_Financial_results.pdf,,679475325744,271572872,2502.0000,271572872,1191.0000,69.12693400392364,3544.6287138724224,452.4052755902659,309.080945316217
141549000000,0,MOEX,FIVE,2020,6,Q,МСФО,0,11302000000,166432000000,930177000000,1096609000000.0001,369545000000,621823000000,991368000000.0001,73622000000,0,158156000000,0,231778000000,220476000000,105241000000,105241000000,493631000000,126579000000.00002,64567000000.00001,93625000000,32954000000.000004,0,14550000000,-14550000000,0,66094000000.00001,34724000000,20174000000,14772000000,14772000000,32613000000.000004,29726000000,-20749000000,-9553000000,-17294000000,47020000000,0,1,RUB,/fa/fa_reports/2020/FIVE20206MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2020_Financial_results.pdf,,679475325744,271572872,2502.0000,271572872,1191.0000,54.3942400844809,1817.6741894897366,243.3748242718441,173.13953214001432
140010000000,56198000000,MOEX,FIVE,2020,9,9M,МСФО,0,11672000000,171545000000,942859999999.9999,1114405000000,378992000000,622310000000,1001301999999.9999,75520000000,66187999999.99999,152771000000,464067999999.99994,228290999999.99997,216619000000,113103000000,113103000000,1449266000000,366526000000,192168000000,281627000000,84899000000,0,42489000000,-42489000000,0,180450000000,80381000000,37892000000,26614000000,26614000000,100069000000,123502999999.99998,-58701999999.99999,-71691000000,0,123502999999.99998,0,1,RUB,https://financemarker.ru/fa/fa_reports/2020/FIVE20209MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2020_Financial_results.pdf,,784166667900,271572872,2887.5000,271572872,1191.0000,97.99947912323142,5336.563955474905,664.4625388061588,454.76928196274326
1305945000000,0,MOEX,FIVE,2020,9,Q,МСФО,0,11672000000,171545000000,942859999999.9999,1114405000000,378992000000,622310000000,1001301999999.9999,75520000000,66187999999.99999,152771000000,464067999999.99994,228290999999.99997,216619000000,113103000000,113103000000,486640999999.99994,124010999999.99998,64761999999.99999,96053000000,27958000000,0,13886000000,-13886000000,0,57588999999.99999,25375000000,11489000000,7840999999.999999,7840999999.999999,35171000000,39565000000,-20659000000,-18527000000,-32006999999.999996,39565000000,0,1,RUB,https://financemarker.ru/fa/fa_reports/2020/FIVE20209MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2020_Financial_results.pdf,X,784166667900,271572872,2887.5000,271572872,1191.0000,28.87254511930779,1791.9352416024822,212.0572632158929,145.68833664652632
1305947000000,0,MOEX,FIVE,2020,12,6M,МСФО,0,20008000000,206284000000,966945000000,1173229000000,408684000000,669703000000,1078387000000,77026000000,68442000000,184921000000,261947000000,810448000000,241939000000,94842000000,94842000000,1015401000000,252105000000,278983000000,203329000000,48776000000,50000000,28083000000,-28033000000,0,120761000000,47300000000,19267000000,9571000000,9571000000,73007000000,75622000000,-46271000000,-20641000000,53504000000,-9889000000,0,1,RUB,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/X5_Annual_Report_2020_ENG.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2020_Financial_results.pdf,X,746553825128,271572872,2749.0000,271572872,1191.0000,35.24284266508033,3738.963293800568,444.6725444653397,-36.41379909256916
1305946000000,0,MOEX,FIVE,2020,12,Q,МСФО,0,20008000000,206284000000,966945000000,1173229000000,408684000000,669703000000,1078387000000,77026000000,68442000000,184921000000,261947000000,810448000000,241939000000,94842000000,94842000000,528760000000,128094000000,214221000000,107276000000,20818000000,50000000,14197000000,-14147000000,0,63172000000,21925000000,7778000000,1730000000,1730000000,37836000000,36057000000,-25612000000,-2114000000,85511000000,-49454000000,0,1,RUB,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/X5_Annual_Report_2020_ENG.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2020_Financial_results.pdf,X,746553825128,271572872,2749.0000,271572872,1191.0000,6.370297545772539,1947.0280521980856,232.61528124944675,-182.10213573909547
36732000000,56192000000,MOEX,FIVE,2020,12,Y,МСФО,0,20008000000,206284000000,966945000000,1173229000000,408684000000,669703000000,1078387000000,77026000000,68442000000,184921000000,261947000000,810448000000,241939000000,94842000000,94842000000,1978026000000,494620000000,406389000000,388903000000,105717000000,50000000,56686000000,-56636000000,0,243622000000,102306000000,45670000000,28344000000,28344000000,137905000000,159560000000,-84314000000,-73805000000,85511000000,74049000000,0,1,RUB,https://www.x5.ru/ru/PublishingImages/Pages/Investors/ResultsCentre/X5_Annual_Report_2020_ENG.pdf,https://www.x5.ru/ru/Documents/X5_Q4_2020_Financial_results.pdf,,746553825128,271572872,2749.0000,271572872,1191.0000,104.36977666900397,7283.59200767299,897.0778200556056,272.6671462236478
191852000000,56199000000,MOEX,FIVE,2021,3,Q,МСФО,0,12213000000,192936000000,973027000000,1165963000000,401526000000,661921000000,1063446999999.9999,78081000000,68953000000,169928000000,486862000000,248008999999.99997,235796000000,102516000000,102516000000,507190999999.99994,129540999999.99998,73681000000,105041000000,24500000000,0,13365000000,-13365000000,0,61227000000,24380000000,11015000000,7638000000,7638000000,36727000000,40420000000,-18704000000,-29511000000,20583000000,19837000000,0,1,RUB,/fa/fa_reports/2021/FIVE20213QМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q1_2021_Financial_Results.pdf,,664810390656,271572872,2448.0000,271572872,1191.0000,28.125047777231593,1867.6055390392598,225.45329932659843,73.04485110721957
51897000000,58436000000,MOEX,FIVE,2021,6,6M,МСФО,0,12848000000,191489000000,990176000000,1181665000000,402070000000,692190000000,1094260000000,76274000000,69493000000,189923000000,499196000000,266197000000,253349000000,87405000000,87405000000,1053703000000,269637000000,223126000000,211834000000,57803000000,20000000,27536000000,-27516000000,0,131560000000,58580000000,31064000000,22558000000,22558000000,73757000000,93130000000,-42366000000,-57849000000,37106000000,72547000000,0,1,RUB,/fa/fa_reports/2021/FIVE202166MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2021_Financial_Results.pdf,,687894084776,271572872,2533.0000,271572872,1191.0000,83.06426129337396,3880.0009450133884,484.4371937120435,267.1364023428673
219980000000,56353000000,MOEX,FIVE,2021,6,Q,МСФО,0,12848000000,191489000000,990176000000,1181665000000,402070000000,692190000000,1094260000000,76274000000,69493000000,189923000000,499196000000,266197000000,253349000000,87405000000,87405000000,546512000000,140096000000,112289000000,106793000000,33303000000,20000000,14171000000,-14151000000,0,70333000000,34200000000,20049000000,14920000000,14920000000,37030000000,52710000000,-23662000000,-28338000000,20370000000,32340000000,0,1,RUB,/fa/fa_reports/2021/FIVE20216QМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q2_2021_Financial_Results.pdf,,687894084776,271572872,2533.0000,271572872,1191.0000,54.93921351614237,2012.3954059741284,258.98389438544507,119.08405932386354
64467000000,59904000000,MOEX,FIVE,2021,9,9M,МСФО,0,12897000000,190547000000,989257000000,1179804000000,402870000000,677282000000,1080151999999.9999,67982999999.99999,69704000000,174945000000,497997000000,242928000000,230031000000,99652000000,99652000000,1597289000000,411807000000,135239999999.99998,322320000000,89487000000,0,42273000000,-42273000000,0,203561000000,90185000000,47912000000,34783000000,34783000000,111268000000,154217000000,-63820000000,-97430000000,0,154217000000,0,1,RUB,/fa/fa_reports/2021/FIVE202199MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2021_Financial_results.pdf,,638739394944,271572872,2352.0000,271572872,1191.0000,128.07980319919434,5881.622078953453,749.56308596243,567.865998044164
141351000000,0,MOEX,FIVE,2021,9,Q,МСФО,0,12897000000,190547000000,989257000000,1179804000000,402870000000,677282000000,1080151999999.9999,67982999999.99999,69704000000,174945000000,497997000000,242928000000,230031000000,99652000000,99652000000,543585999999.99994,142170000000,116375000000,110486000000,31684000000,0,14757000000,-14757000000,0,72001000000,31605000000,16847999999.999998,12225000000,12225000000,37511000000,61087000000,-21454000000,-39581000000,18590000000,81670000000,0,1,RUB,/fa/fa_reports/2021/FIVE202199MМСФО.pdf,https://www.x5.ru/ru/Documents/X5_Q3_2021_Financial_results.pdf,,638739394944,271572872,2352.0000,271572872,1191.0000,45.0155419058204,2001.6211339400643,265.12589225038647,300.7295957012967
1305949000000,0,MOEX,FIVE,2021,12,6M,МСФО,0,26062000000,276478000000,1010270000000,1286748000000,482851000000,716268000000,1199119000000,87767000000,70264000000,206571000000,507099000000,294338000000,268276000000.00003,87629000000,87629000000,1151116000000,291680000000,448603000000,231911000000,59769000000,586000000,30299000000,-29713000000,0,136290000000.00002,59391000000,29678000000,20180000000,20180000000,76521000000,134332000000.00002,-97069000000,-24041000000,110646000000,62859000000,0,1,RUB,/fa/fa_reports/2021/FIVE202112YМСФО.pdf,https://www.x5.ru/wp-content/uploads/2022/03/x5_q4_2021_financial_results_eng.pdf,X,532147042684,271572872,1959.5000,271572872,1191.0000,74.30786385762418,4238.700248381216,501.8542500077107,231.46273608654107
